CustomerKey,AnnualIncome
11000,"$90,000 "
11001,"$60,000 "
11002,"$60,000 "
11003,"$70,000 "
11004,"$80,000 "
11005,"$70,000 "
11007,"$60,000 "
11008,"$60,000 "
11009,"$70,000 "
11010,"$70,000 "
11011,"$60,000 "
11012,"$100,000 "
11013,"$100,000 "
11014,"$100,000 "
11015,"$30,000 "
11016,"$30,000 "
11017,"$20,000 "
11018,"$30,000 "
11019,"$40,000 "
11020,"$40,000 "
11021,"$40,000 "
11022,"$40,000 "
11023,"$40,000 "
11024,"$60,000 "
11025,"$10,000 "
11026,"$30,000 "
11027,"$30,000 "
11028,"$30,000 "
11029,"$30,000 "
11030,"$10,000 "
11031,"$20,000 "
11032,"$20,000 "
11033,"$20,000 "
11034,"$20,000 "
11035,"$10,000 "
11036,"$60,000 "
11037,"$40,000 "
11038,"$10,000 "
11039,"$30,000 "
11040,"$30,000 "
11041,"$60,000 "
11042,"$70,000 "
11043,"$60,000 "
11044,"$20,000 "
11045,"$30,000 "
11046,"$30,000 "
11047,"$30,000 "
11048,"$30,000 "
11049,"$40,000 "
11050,"$30,000 "
11051,"$30,000 "
11052,"$40,000 "
11053,"$60,000 "
11054,"$40,000 "
11055,"$40,000 "
11056,"$40,000 "
11057,"$70,000 "
11058,"$80,000 "
11059,"$80,000 "
11060,"$80,000 "
11061,"$80,000 "
11062,"$40,000 "
11063,"$40,000 "
11064,"$40,000 "
11065,"$60,000 "
11066,"$70,000 "
11067,"$60,000 "
11068,"$80,000 "
11069,"$80,000 "
11070,"$80,000 "
11071,"$80,000 "
11072,"$80,000 "
11073,"$70,000 "
11074,"$70,000 "
11075,"$80,000 "
11076,"$80,000 "
11077,"$80,000 "
11078,"$40,000 "
11079,"$160,000 "
11080,"$170,000 "
11081,"$120,000 "
11082,"$130,000 "
11083,"$130,000 "
11084,"$80,000 "
11085,"$60,000 "
11086,"$70,000 "
11087,"$70,000 "
11089,"$80,000 "
11090,"$90,000 "
11091,"$90,000 "
11092,"$90,000 "
11093,"$100,000 "
11094,"$70,000 "
11095,"$70,000 "
11096,"$60,000 "
11097,"$60,000 "
11098,"$60,000 "
11099,"$60,000 "
11100,"$60,000 "
11101,"$70,000 "
11102,"$80,000 "
11103,"$70,000 "
11104,"$70,000 "
11105,"$70,000 "
11106,"$70,000 "
11107,"$90,000 "
11108,"$70,000 "
11109,"$70,000 "
11110,"$60,000 "
11111,"$60,000 "
11112,"$60,000 "
11113,"$70,000 "
11114,"$70,000 "
11115,"$70,000 "
11116,"$70,000 "
11117,"$70,000 "
11118,"$80,000 "
11119,"$30,000 "
11121,"$70,000 "
11122,"$70,000 "
11123,"$70,000 "
11124,"$80,000 "
11125,"$70,000 "
11126,"$10,000 "
11127,"$40,000 "
11128,"$40,000 "
11129,"$40,000 "
11130,"$30,000 "
11131,"$30,000 "
11132,"$30,000 "
11133,"$30,000 "
11134,"$10,000 "
11135,"$30,000 "
11136,"$40,000 "
11137,"$40,000 "
11138,"$40,000 "
11139,"$30,000 "
11140,"$30,000 "
11141,"$40,000 "
11142,"$40,000 "
11143,"$40,000 "
11144,"$40,000 "
11145,"$40,000 "
11146,"$40,000 "
11147,"$60,000 "
11148,"$40,000 "
11149,"$40,000 "
11150,"$40,000 "
11151,"$60,000 "
11152,"$40,000 "
11153,"$40,000 "
11154,"$40,000 "
11155,"$40,000 "
11156,"$40,000 "
11157,"$40,000 "
11158,"$40,000 "
11159,"$40,000 "
11160,"$40,000 "
11161,"$40,000 "
11162,"$40,000 "
11163,"$40,000 "
11164,"$40,000 "
11165,"$60,000 "
11166,"$70,000 "
11167,"$80,000 "
11168,"$80,000 "
11169,"$90,000 "
11170,"$90,000 "
11171,"$100,000 "
11172,"$100,000 "
11173,"$110,000 "
11174,"$110,000 "
11175,"$70,000 "
11176,"$90,000 "
11177,"$110,000 "
11178,"$100,000 "
11179,"$120,000 "
11180,"$160,000 "
11181,"$170,000 "
11182,"$70,000 "
11183,"$70,000 "
11184,"$70,000 "
11185,"$70,000 "
11186,"$70,000 "
11187,"$60,000 "
11188,"$60,000 "
11190,"$70,000 "
11191,"$70,000 "
11192,"$60,000 "
11193,"$60,000 "
11194,"$60,000 "
11195,"$60,000 "
11196,"$60,000 "
11197,"$70,000 "
11198,"$70,000 "
11199,"$70,000 "
11200,"$70,000 "
11201,"$70,000 "
11202,"$80,000 "
11203,"$40,000 "
11205,"$40,000 "
11206,"$60,000 "
11207,"$60,000 "
11208,"$60,000 "
11209,"$60,000 "
11210,"$70,000 "
11211,"$40,000 "
11212,"$40,000 "
11213,"$60,000 "
11214,"$60,000 "
11215,"$40,000 "
11216,"$60,000 "
11217,"$60,000 "
11218,"$60,000 "
11219,"$60,000 "
11220,"$60,000 "
11221,"$70,000 "
11222,"$80,000 "
11223,"$70,000 "
11224,"$70,000 "
11226,"$60,000 "
11227,"$60,000 "
11228,"$60,000 "
11229,"$70,000 "
11230,"$70,000 "
11231,"$60,000 "
11232,"$60,000 "
11233,"$70,000 "
11234,"$70,000 "
11235,"$70,000 "
11236,"$70,000 "
11237,"$130,000 "
11238,"$130,000 "
11239,"$130,000 "
11240,"$160,000 "
11241,"$100,000 "
11242,"$110,000 "
11243,"$150,000 "
11244,"$170,000 "
11245,"$120,000 "
11247,"$130,000 "
11248,"$110,000 "
11249,"$130,000 "
11250,"$170,000 "
11251,"$30,000 "
11252,"$90,000 "
11253,"$60,000 "
11254,"$70,000 "
11255,"$70,000 "
11256,"$70,000 "
11257,"$120,000 "
11258,"$120,000 "
11259,"$100,000 "
11260,"$110,000 "
11261,"$130,000 "
11262,"$80,000 "
11263,"$90,000 "
11264,"$90,000 "
11265,"$90,000 "
11266,"$90,000 "
11267,"$120,000 "
11268,"$130,000 "
11269,"$130,000 "
11270,"$130,000 "
11271,"$150,000 "
11272,"$70,000 "
11273,"$90,000 "
11274,"$50,000 "
11275,"$80,000 "
11276,"$80,000 "
11277,"$80,000 "
11278,"$90,000 "
11279,"$90,000 "
11280,"$90,000 "
11281,"$110,000 "
11282,"$90,000 "
11283,"$110,000 "
11284,"$110,000 "
11285,"$120,000 "
11286,"$170,000 "
11287,"$70,000 "
11288,"$110,000 "
11289,"$130,000 "
11290,"$130,000 "
11291,"$130,000 "
11292,"$150,000 "
11293,"$60,000 "
11294,"$60,000 "
11295,"$80,000 "
11296,"$50,000 "
11297,"$70,000 "
11298,"$70,000 "
11299,"$70,000 "
11300,"$80,000 "
11301,"$80,000 "
11302,"$90,000 "
11303,"$90,000 "
11304,"$100,000 "
11305,"$110,000 "
11306,"$110,000 "
11307,"$80,000 "
11308,"$60,000 "
11309,"$60,000 "
11310,"$70,000 "
11311,"$70,000 "
11312,"$70,000 "
11313,"$70,000 "
11315,"$70,000 "
11316,"$60,000 "
11317,"$40,000 "
11318,"$40,000 "
11319,"$70,000 "
11320,"$80,000 "
11321,"$90,000 "
11322,"$90,000 "
11323,"$120,000 "
11324,"$90,000 "
11325,"$90,000 "
11326,"$130,000 "
11327,"$90,000 "
11328,"$90,000 "
11329,"$90,000 "
11330,"$110,000 "
11331,"$90,000 "
11332,"$10,000 "
11333,"$20,000 "
11334,"$10,000 "
11335,"$10,000 "
11336,"$20,000 "
11337,"$10,000 "
11338,"$20,000 "
11339,"$20,000 "
11340,"$10,000 "
11341,"$20,000 "
11342,"$30,000 "
11343,"$10,000 "
11344,"$10,000 "
11345,"$10,000 "
11346,"$10,000 "
11347,"$10,000 "
11348,"$10,000 "
11349,"$10,000 "
11350,"$30,000 "
11351,"$20,000 "
11352,"$10,000 "
11353,"$30,000 "
11354,"$20,000 "
11355,"$40,000 "
11356,"$10,000 "
11357,"$10,000 "
11358,"$10,000 "
11359,"$10,000 "
11360,"$10,000 "
11361,"$10,000 "
11362,"$10,000 "
11363,"$10,000 "
11365,"$10,000 "
11366,"$20,000 "
11367,"$20,000 "
11368,"$10,000 "
11369,"$20,000 "
11370,"$20,000 "
11371,"$20,000 "
11372,"$20,000 "
11373,"$30,000 "
11374,"$30,000 "
11375,"$30,000 "
11376,"$40,000 "
11377,"$30,000 "
11378,"$10,000 "
11379,"$10,000 "
11380,"$20,000 "
11381,"$20,000 "
11382,"$20,000 "
11384,"$30,000 "
11385,"$30,000 "
11387,"$40,000 "
11388,"$40,000 "
11389,"$10,000 "
11390,"$10,000 "
11391,"$10,000 "
11392,"$10,000 "
11393,"$10,000 "
11394,"$10,000 "
11395,"$30,000 "
11396,"$10,000 "
11397,"$20,000 "
11398,"$30,000 "
11399,"$30,000 "
11400,"$40,000 "
11401,"$40,000 "
11402,"$40,000 "
11403,"$40,000 "
11404,"$10,000 "
11405,"$10,000 "
11406,"$20,000 "
11407,"$20,000 "
11408,"$10,000 "
11409,"$10,000 "
11410,"$20,000 "
11411,"$80,000 "
11412,"$80,000 "
11413,"$80,000 "
11414,"$80,000 "
11415,"$90,000 "
11416,"$60,000 "
11417,"$70,000 "
11418,"$90,000 "
11419,"$150,000 "
11420,"$100,000 "
11421,"$110,000 "
11422,"$170,000 "
11423,"$80,000 "
11424,"$80,000 "
11425,"$90,000 "
11426,"$110,000 "
11427,"$110,000 "
11428,"$120,000 "
11429,"$80,000 "
11430,"$90,000 "
11431,"$110,000 "
11432,"$80,000 "
11433,"$80,000 "
11434,"$170,000 "
11435,"$100,000 "
11436,"$160,000 "
11437,"$90,000 "
11438,"$130,000 "
11439,"$90,000 "
11440,"$80,000 "
11441,"$90,000 "
11442,"$90,000 "
11443,"$60,000 "
11444,"$70,000 "
11445,"$70,000 "
11446,"$70,000 "
11447,"$70,000 "
11448,"$80,000 "
11449,"$80,000 "
11450,"$130,000 "
11451,"$70,000 "
11452,"$80,000 "
11453,"$80,000 "
11454,"$80,000 "
11455,"$100,000 "
11456,"$120,000 "
11457,"$90,000 "
11458,"$100,000 "
11459,"$80,000 "
11460,"$90,000 "
11461,"$90,000 "
11462,"$110,000 "
11463,"$110,000 "
11464,"$90,000 "
11465,"$90,000 "
11466,"$150,000 "
11467,"$170,000 "
11468,"$40,000 "
11469,"$10,000 "
11470,"$20,000 "
11471,"$30,000 "
11472,"$60,000 "
11473,"$20,000 "
11474,"$20,000 "
11475,"$30,000 "
11476,"$40,000 "
11477,"$30,000 "
11478,"$30,000 "
11479,"$40,000 "
11480,"$40,000 "
11481,"$40,000 "
11482,"$30,000 "
11483,"$40,000 "
11484,"$40,000 "
11485,"$40,000 "
